Account is Locked,Account is Locked,บัญชีถูกล็อก,帳戶已被鎖定,အကောင့်သည်သင့်အကောင့်ကိုအောင်မြင်ပြီးဖြစ်ပြီ,Tài khoản bị khóa,គណនីត្រូវបានចាកចេញ,Akun Terkunci,계정이 잠겼습니다.
Accounts Overview,Accounts Overview,ภาพรวมบัญชีลูกค้า,Accounts Overview,Accounts Overview,Tổng quan về tài khoản,Accounts Overview,Tinjauan Akun,Accounts Overview
Activate Biometric,Activate Biometric,เปิดใช้งาน Biometric,啟用指紋/臉部辨識,Biometric ကိုသက်ဝင်စေမည်,Kích hoặc vân tay,ដាក់ឱ្យដំណើរការទិន្ន័យជីវមាត្,Aktifkan biometrik,Activate Biometric
Add,Add,เพิ่ม,增加,ထည့်သွင်းရန်,Thêm,បន្ថែម,Tambahkan,Add
Add Bonus,Add Bonus,เพิ่มสินค้าแถม,增加贈品,အပိုဆုထည့်ပါ,Thêm hàng tặng,បន្ថែមនូវចំនួនដែលថែម,Tambahkan bonus,Add Bonus
Add Bundles,Add Bundles,เพิ่มสินค้า Bundles,Add Bundles,ကုန်ပစ္စည်း အစုအဝေးများ ထည့်ပါ,Thêm gói sản phẩm,បន្ថែមផលិតផលជាកញ្ចប់,Tambahkanpaket,Add Bundles
Add Materials,Add Materials,เพิ่มสินค้า,增加產品,ကုန်ပစ္စည်းများ ထည့်ပါ,Thông tin sản phẩm,បន្ថែមផលិតផល,Tambahkan produk,Add Materials
Add Remarks,Add Remarks,เพิ่มหมายเหตุ,增加備註,မှတ်ချက်ထည့်ပါ,Ghi chú thêm,បន្ថែមកំណត់សម្គាល់,Tambahkan catatan,Add Remarks
Add To Bonus,Add To Bonus,เพิ่มเข้าสินค้าแถม,增加搭贈,အပိုဆု သို့ထည့်ပါ,Thêm hàng tặng,បន្ថែមទៅជាចំនួនដែលថែម,Tambahkan ke bonus,Add To Bonus
Additional Comments,Additional Comments,Additional Comments,額外備註,​Additional Comments,Thông tin bổ sung,​Additional Comments,Catatan tamproduk,Additional Comments
Additional Information,Additional Information,ข้อมูลเพิ่มเติม,更多資訊,နောက်ထပ်သတင်းအချက်အလက်များ,Thông tin bổ sung,ព័ត៌មានបន្ថែមទៀត,Informasi tamproduk,Additional Information
Address,Address,ที่อยู่,地址,လိပ်စာ,Tên Địa chỉ,អាសយដ្ឋាន,Alamat,Address
Advance Payment,Advance Payment,Advance Payment,款項已付清,Advance Payment,Advance Payment,Advance Payment,Pembayaran di muka,Advance Payment
Advance Payment w/ 0.6% discount,Advance Payment w/ 0.6% discount,Advance Payment w/ 0.6% discount,預付貨款折扣0.6%,Advance Payment w/ 0.6% discount,Advance Payment w/ 0.6% discount,Advance Payment w/ 0.6% discount,"Pembayaran uang muka dengan diskon 0,6%",Advance Payment w/ 0.6% discount
Advance Payment w/ 1.15% discount - remittance,Advance Payment w/ 1.15% discount - remittance,Advance Payment w/ 1.15% discount - remittance,預付貨款折扣1.15%,Advance Payment w/ 1.15% discount - remittance,Advance Payment w/ 1.15% discount - remittance,Advance Payment w/ 1.15% discount - remittance,"Pembayaran Muka dengan Diskon 1,15% - Pengiriman Uang",Advance Payment w/ 1.15% discount - remittance
Advance Payment w/ 1.5% discount - remittance,Advance Payment w/ 1.5% discount - remittance,Advance Payment w/ 1.5% discount - remittance,預付貨款折扣1.5%,Advance Payment w/ 1.5% discount - remittance,Advance Payment w/ 1.5% discount - remittance,Advance Payment w/ 1.5% discount - remittance,"Pembayaran uang muka dengan diskon 1,5% - pengiriman uang",Advance Payment w/ 1.5% discount - remittance
Advance payment w/o discount – Credit card,Advance payment w/o discount – Credit card,Advance payment w/o discount – Credit card,信用卡付款不再另行收款,Advance payment w/o discount – Credit card,Advance payment w/o discount – Credit card,Advance payment w/o discount – Credit card,Pembayaran uang muka tanpa diskon â € “kartu kredit,Advance payment w/o discount – Credit card
Advance Payment with 2% discount - remittance,Advance Payment with 2% discount - remittance,Advance Payment with 2% discount - remittance,款項已付清折扣2%,Advance Payment with 2% discount - remittance,Advance Payment with 2% discount - remittance,Advance Payment with 2% discount - remittance,Pembayaran di muka dengan diskon 2% - pengiriman uang,Advance Payment with 2% discount - remittance
Advance Payment with 3% discount - remittance,Advance Payment with 3% discount - remittance,Advance Payment with 3% discount - remittance,出貨前匯款折扣3%,Advance Payment with 3% discount - remittance,Advance Payment with 3% discount - remittance,Advance Payment with 3% discount - remittance,Pembayaran Muka dengan Diskon 3% - Pengiriman Uang,Advance Payment with 3% discount - remittance
All Items Loaded,All Items Loaded,โหลดข้อมูลทั้งหมดเรียบร้อยแล้ว,顯示所有項目,ကုန်ပစ္စည်း အားလုံးကိုပြထားသည်,Tất cả sản phẩm đã được tải,ផលិតផលទាំងអស់ត្រូវបានបង្ហាញ,Semua barang sudah dimuat,All Items Loaded
All rights reserved,All rights reserved,สงวนลิขสิทธิ์,保留所有權利,မူပိုင်ခွင့်များရယူပြီး,Đã đăng ký Bản quyền,រក្សា​រ​សិទ្ធ​គ្រប់យ៉ាង,Seluruh hak cipta,All rights reserved
All saved processed will be lost,All saved processed will be lost,All saved processed will be lost,放棄所有儲存,သိမ်းဆည်းထားသည့်လုပ်ငန်းများအားလုံးဆုံးရှုံးသွားမည်ဖြစ်သည်,Tất cả quá trình đã lưu sẽ bị mất,រាល់ដំណើរការដែលបានរក្សាទុកនឹងត្រូវបាត់បង់,Semua diproses yang disimpan akan hilang,All saved processed will be lost
Announcement Letter Number,Announcement Letter Number,Announcement Letter Number,Announcement Letter Number,ကြေငြာစာနံပါတ်,Công văn thông báo số,Announcement Letter Number,Nomor Surat Pengumuman,Announcement Letter Number
ANYTIME ANYWHERE.,ANYTIME ANYWHERE.,ทุกที่ ทุกเวลา,無論何時 無論何地,အချိန်မရွေး၊ နေရာမရွေး,Bất cứ nơi đâu bất cứ lúc nào.,គ្រប់ពេលវេលា គ្រប់ទីកន្លែង។,KAPANPUN DIMANAPUN.,ANYTIME ANYWHERE.
Apply,Apply,ยืนยัน,執行,သုံးသည်,Áp dụng,អនុវត្ត,Terapkan,Apply
Are you sure to exit?,Are you sure to exit?,คุณต้องการออกจากระบบใช่หรือไม่?,請確認是否登出?,သင်ထွက်ဖို့သေချာပြီလား,Quý Khách Hàng có chắc chắn thoát không?,តើអ្នកប្រាកដទេថាចង់ចាកចេញ?,Apakah Anda pasti akan keluar?,Are you sure to exit?
Batch,Batch,หมายเลข Batch,批號,အစီအစဉ် အသုတ်,Sô lô,លេខឡូត៏,Batch,Batch
Batch Number:,Batch Number:,หมายเลข Batch:,Batch Number:,ကုန်ပစ္စည်း အသုတ်နံပါတ်:,Số lô:,លេខឡូត៏,Nomor batch:,Batch Number:
Bill to Address,Bill to Address,Bill to Address,發票開立地址,Bill to Address,Thông tin hóa đơn,Bill to Address,Tagihan untuk ditangani,Bill to Address
Bill to Customer Code,Bill to Customer Code,Bill to Customer Code,發票客戶代號,Bill to Customer Code,Mã Khách Hàng,Bill to Customer Code,Tagihan untuk kode pelanggan,Bill to Customer Code
Bill to Customer Name,Bill to Customer Name,Bill to Customer Name,發票客戶名稱,Bill to Customer Name,Tên Khách hàng,Bill to Customer Name,Tagihan untuk nama pelanggan,Bill to Customer Name
Billing Address:,Billing Address:,ที่อยู่สำหรับการเรียกเก็บเงิน:,發票開立地址:,ကျသင့်ငွေတောင်းခံလွှာပေးပို့မည့်လိပ်စာ:,Địa chỉ xuất hoá đơn:,អាសយដ្ឋានចេញវិក្កយបត្រ៖,Alamat tagihan:,Billing Address:
Biometric,Biometric,Biometric,生物識別,ဇီဝဗေဒဆိုင်ရာအချက်အလက်,Vân tay,ជីវមាត្រ,Biometrik,Biometric
Bonus,Bonus,โบนัส,贈品,အပိုဆု,Thưởng,ប្រាក់រង្វាន់,Bonus,Bonus
Bonus item successfully added to cart,Bonus item successfully added to cart,เพิ่มสินค้าแถมลงตะกร้าสำเร็จ,成功將贈品加至購物車,အပိုဆုပစ္စည်း စျေးဝယ်လှည်းသို့ အောင်မြင်စွာထည့်သွင်း ပြီးသွားပါပြီ,Đã thêm thành công hàng tặng vào giỏ hàng,ចំនួនដែលថែមត្រូវបានដាក់បញ្ចូលទៅក្នុងរទេះផលិតផលដោយជោគជ័យ,Item bonus berhasil ditambahkan ke kereta,Bonus item successfully added to cart
Bonus Qty,Bonus Qty,จำนวนสินค้าแถม,搭贈數量,အပိုဆု အရေအတွက်,Số lượng hàng tặng,ចំនួនដែលថែម,Bonus Qty,Bonus Qty
Bonus/tiered pricing for this material has been updated as a result of the changes you've made to your cart,Bonus/tiered pricing for this material has been updated as a result of the changes you've made to your cart,Bonus/tiered pricing for this material has been updated as a result of the changes you've made to your cart,因產品數量更改，已更新您的產品單價,Bonus/tiered pricing for this material has been updated as a result of the changes you've made to your cart,Bonus/tiered pricing for this material has been updated as a result of the changes you've made to your cart,ចំនួនដែលថែម/តម្លៃដែលបានបង្កើតសម្រាប់ផលិតផលនេះត្រូវបានធ្វើបច្ចុប្បន្នភាព ដោយសារការផ្លាស់ប្តូរដែលអ្នកបានធ្វើនៅក្នុងរទេះផលិតផលរបស់អ្នក,Bonus/harga berjenjang untuk produk ini telah diperbarui sebagai hasil dari peruproduk yang telah Anda buat pada keranjang Anda,Bonus/tiered pricing for this material has been updated as a result of the changes you've made to your cart
Bonuses,Bonuses,สินค้าแถม,搭贈,အပိုဆု,Hàng tặng,ចំនួនបន្ថែម,Bonus,Bonuses
Brand,Brand,แบรนด์สินค้า,牌子,ကုန်အမှတ်တံဆိပ်,Chi nhánh,ម៉ាករបស់ផលិតផល,Merek,Brand
Bundle Materials,Bundle Materials,Bundle Materials,Bundle Materials,ပစ္စည်းများအစုအဝေး,Gói sản phẩm,ផលិតផលជាកញ្ចប់,produk bundel,Bundle Materials
Buy,Buy,ซื้อ,購買,ဝယ်ပါ,Mua,ទិញ,Membeli,Buy
Cancel,Cancel,ยกเลิก,取消,မလုပ်‌ဆောငိတော့ပါ,Hủy,បោះបង់,Membatalkan,Cancel
Cancelled,Cancelled,ยกเลิก,取消訂單,ပယ်ဖျက်သည်,Hủy,បានលុបចោល,Dibatalkan,Cancelled
Cancelled - credit issue,Cancelled - credit issue,ยกเลิก - ปัญหาเครดิต,取消訂單,ပယ်ဖျက်သည် - အကြွေးပြဿနာ,Hủy - công nợ,បានលុបចោល-បញ្ហាឥណទាន,Dibatalkan - Masalah Kredit,Cancelled - credit issue
Cancelled - duplicate order,Cancelled - duplicate order,ยกเลิก - คำสั่งซื้อซ้ำ,取消訂單,ပယ်ဖျက်သည် - မှာယူမှု ထပ်ခြင်း,Hủy - đơn hàng trùng,បានលុបចោល-ការបញ្ជាទិញផ្ទួនគ្នា,Dibatalkan - duplikat pesanan,Cancelled - duplicate order
Cancelled - license invalid / expired,Cancelled - license invalid / expired,ยกเลิก - ใบอนุญาตไม่ถูกต้อง / หมดอายุ,取消訂單,ပယ်ဖျက်သည် - လိုင်စင် အကျုံးမဝင်/ သက်တမ်းကုန်,Hủy - giấy phép không hợp lệ/hết hạn,បានលុបចោល-license,Dibatalkan - lisensi tidak valid / kedaluwarsa,Cancelled - license invalid / expired
Cancelled by buyer,Cancelled by buyer,ยกเลิกโดยผู้ซื้อ,取消訂單,ဝယ်သူမှ ပယ်ဖျက်သည်,Hủy - Khách Hàng,បានលុបចោលដោយអ្នកទិញ,Dibatalkan oleh pembeli,Cancelled by buyer
Cancelled by seller,Cancelled by seller,ยกเลิกโดยผู้ขาย,取消訂單,ရောင်းချသူမှ ပယ်ဖျက်သည်,Hủy - Nhân viên/Hãng,បានលុបចោលដោយអ្នកលក់,Dibatalkan oleh penjual,Cancelled by seller
Cart,Cart,ตะกร้าสินค้า,購物車,စျေးဝယ်လှည်း,Giỏ hàng,រទេះផលិតផល,Keranjang,Cart
Cash on Delivery with 0.6% discount,Cash on Delivery with 0.6% discount,Cash on Delivery with 0.6% discount,貨到收款折扣0.6%,Cash on Delivery with 0.6% discount,Cash on Delivery with 0.6% discount,Cash on Delivery with 0.6% discount,"Tunai pada pengiriman dengan diskon 0,6%",Cash on Delivery with 0.6% discount
Catridge,Catridge,Cartridge,Catridge,Catridge,Ảnh chụp,បំពង់ទឹកថ្នាំ,Catridge,Catridge
Change,Change,แก้ไข,修改,ပြောင်းလဲပါ,Thay đổi,ផ្លាស់ប្តូរ,Ubah,Change
Change Customer Code,Change Customer Code,แก้ไขรหัสร้านค้า,修改客戶號,ဖောက်သည်ကုဒ်နံပါတ် ပြောင်းလဲပါ,Thay đổi Mã Khách Hàng,ផ្លាស់ប្តូរលេខកូដអតិថិជន,Ubah Kode Pelanggan,Change Customer Code
Change Password,Change Password,เปลี่ยนรหัสผ่าน,修改密碼,စကားဝှက်ကိုပြောင်းရန်,Thay đổi mật khẩu,ប្តូរលេខសម្ងាត់,Ganti kata sandi,Change Password
Change sales organization,Change sales organization,แก้ไข sales organization,修改裕利銷售組織,အရောင်းအဖွဲ့အစည်း ပြောင်းလဲပါ,Thay đổi Sales Org,ប្តូរលេខកូដអង្គភាពលក់,Ubah organisasi penjualan,Change sales organization
Change Shipping Address,Change Shipping Address,แก้ไขที่อยู่จัดส่ง,修改送貨地址,ပို့ဆောင်ရန် လိပ်စာကို ပြောင်းလဲပါ,Thay đổi Địa chỉ giao hàng,ផ្លាស់ប្តូរអាសយដ្ឋានដឹកជញ្ជូន,Ubah alamat pengiriman,Change Shipping Address
Clear,Clear,ลบข้อมูล,取消,ရှင်းလင်းပါ,Xoá,លុបចេញ,Jernih,Clear
Click the + in the label to have the bonus details,Click the + in the label to have the bonus details,Click the + in the label to have the bonus details,主+贈產品不相同，點選+確認搭贈內容,Click the + in the label to have the bonus details,Nhấp vào biểu tưởng +  để xem chi tiết hàng tặng,ចុចសញ្ញា + នៅក្នុងផ្លាកដើម្បីទទួលបានព័ត៌មានលម្អិតអំពីចំនួនដែលថែម,Klik + di label untuk memiliki detail bonus,Click the + in the label to have the bonus details
Close,Close,ปิด,關閉,ပိတ်ရန်,Đóng,បិទ,Tutup,Close
Collective Number (Max length: 135 Characters),Collective Number (Max length: 135 Characters),Collective Number (สูงสุด 135 ตัวอักษร),Collective Number(上限135字元),စုပေါင်းအရေအတွက်(အများဆုံး စာလုံးရေ ၁၃၅ လုံး),Số thu thập (Độ dài tối đa: 135 ký tự),លេខរួម (វែងបំផុតត្រឹមតែ៖ ១៣៥ តួ),Nomor kolektif (panjang maksimal: 135 karakter),Collective Number (Max length: 135 Characters)
Company Name,Company Name,ชื่อร้านค้า,公司名稱,ကုမ္ပဏီအမည်,Tên Hãng Sản xuất,ឈ្មោះក្រុមហ៊ុន,Nama perusahaan,Company Name
Completed,Completed,เสร็จสมบูรณ์,已建立訂單,ပြီးစီးပါပြီ,Hoàn tất,បានបញ្ចប់,Lengkap,Completed
Confirm,Confirm,ยืนยัน,確認,အတည်ပြုပါ,Xác nhận,បញ្ជាក់,Mengonfirmasi,Confirm
Confirm Password,Confirm Password,ใส่รหัสผ่านใหม่อีกครั้ง,重新輸入新密碼,စကားဝှက်အသစ်ကိုထပ်မံရိုက်ထည့်ပါ,Xác nhận mật khẩu,បញ្ជាក់លេខសម្ងាត់,konfirmasi sandi,Confirm Password
Contact details not available,Contact details not available,Contact details not available,發生錯誤，請聯繫裕利。,Contact details not available,Contact details not available,មិនមានព័ត៌មានទំនាក់ទំនង,Detail kontak tidak tersedia,Contact details not available
At least 1 Lower case character (a to z),At least 1 Lower case character (a to z),อย่างน้อย 1 ตัวอักษรตัวเล็ก (a ถึง z),至少1個小寫字母（a至z）,အနည်းဆုံး အက္ခရာငယ် ၁ လုံး (a မှ z ထိ),Ít nhất 1 ký tự chữ thường (a đến z),យ៉ាងហោចណាស់ 1 តួអក្សរតូច (a ដល់ z),Setidaknya 1 karakter huruf kecil (a sampai z),적어도 1개의 소문자 문자(a에서 z까지),
At least 1 Upper case character (A to Z),At least 1 Upper case character (A to Z),อย่างน้อย 1 ตัวอักษรตัวใหญ่ (A ถึง Z),至少1個大寫字母（A至Z）,အနည်းဆုံး အက္ခရာကြီး ၁ လုံး (A မှ Z ထိ),Ít nhất 1 ký tự in hoa (A đến Z),យ៉ាងហោចណាស់ 1 តួអក្សរធំ (A ដល់ Z),Setidaknya 1 karakter huruf besar (A sampai Z),적어도 1개의 대문자 문자(A에서 Z까지),
At least a numeric character (0 to 9),At least a numeric character (0 to 9),อย่างน้อย 1 ตัวเลข (0 ถึง 9),至少一個數字字符（0至9）,အနည်းဆုံး နံပါတ် တစ်လုံး (0 မှ 9 ထိ),Ít nhất một ký tự số (0 đến 9),យ៉ាងហោចណាស់តួលេខមួយ (០ ដល់ ៩),Setidaknya satu karakter numerik (0 sampai 9),적어도 하나의 숫자 문자(0에서 9까지),
Contract Expiry Date,Contract Expiry Date,Contract Expiry Date,Contract Expiry Date,Contract Expiry Date,Hợp đồng sẽ hết hiệu lực vào ngày,Contract Expiry Date,Tanggal kedaluwarsa kontrak,Contract Expiry Date
Contract Number,Contract Number,Contract Number,Contract Number,Contract Number,Số hợp đồng,Contract Number,Nomor kontrak,Contract Number
Contract Quantity,Contract Quantity,Contract Quantity,Contract Quantity,Contract Quantity,Số lượng hợp đồng,Contract Quantity,Jumlah kontrak,Contract Quantity
Contract Reference,Contract Reference,Contract Reference,Contract Reference,Contract Reference,Số tham chiếu hợp đồng,Contract Reference,Referensi kontrak,Contract Reference
Contract Selection,Contract Selection,Contract Selection,Contract Selection,Contract Selection,Chọn số hợp đồng,Contract Selection,Pemilihan kontrak,Contract Selection
Country,Country,ประเทศ,國家,နိုင်ငံ,Quốc gia,ប្រទេស,Negara,Country
Create New Order,Create New Order,Create New Order,建立新訂單,Create New Order,Tạo mới đơn hàng,បង្កើតការបញ្ជាទិញថ្មី,Buat pesanan baru,Create New Order
Create Order,Create Order,สร้างคำสั่งซื้อ,建立新訂單,အမှာစာများ ဖန်တီးပါ,Tạo đơn hàng,បង្កើតការបញ្ជាទិញ,Buat pesanan,Create Order
Create Return,Create Return,Create Return,Create Return,Create Return,Create Return,បង្កើតការបញ្ជូនផលិតផលត្រឡប់មកវិញ,Buat kembali,Create Return
Created date,Created date,วันที่สร้างเอกสาร,訂單建立日期,Created date,Ngày tạo đơn hàng,កាលបរិច្ឆេទដែលបានបង្កើត,Tanggal dokumen,Created date
Credit Notes,Credit Notes,ใบลดหนี้,Credit Notes,Credit Notes,Khoản giảm trừ,Credit Notes,Catatan kredit,Credit Notes
Credit Remaining,Credit Remaining,ยอดใบลดหนี้คงเหลือ,Credit Remaining,Credit Remaining,Tín dụng còn lại,Credit Remaining,Sisa kredit,Credit Remaining
Customer Classification,Customer Classification,Customer Classification,客戶分類,Customer Classification,Phân loại Khách Hàng,ចំណាត់ថ្នាក់អតិថិជន,Klasifikasi Pelanggan,Customer Classification
Customer Details,Customer Details,รายละเอียดร้านค้า,客戶資訊細項,ဖောက်သည်၏ အသေးစိတ်အချက်အလက်,Thông tin chi tiết Khách Hàng,ព័ត៌មានលម្អិតរបស់អតិថិជន,detil pelanggan,Customer Details
"Customer is suspended, please contact ZP Admin for support","Customer is suspended, please contact ZP Admin for support",ร้านค้านี้ถูกระงับ กรุณาติดต่อทีม ZP Admin,請與信用部聯繫,ဖောက်သည်အား ဆိုင်းငံ့ထားသည်။ ကျေးဇူးပြုပြီး ZP Admin ကို အကူအညီတောင်းပါ,"Mã Khách Hàng tạm ngừng, vui lòng liên hệ bộ phận chăm Khách Hàng để được hỗ trợ",លេខកូដអតិថិជនត្រូវបានផ្អាក សូមទាក់ទងផ្នែករដ្ឋបាល ZP ដើម្បីជួយ ត្រួតពិនិត្យ,"Pelanggan ditangguhkan, silakan hubungi admin ZP untuk dukungan","Customer is suspended, please contact ZP Admin for support"
Customer Local Group,Customer Local Group,Customer Local Group,客戶屬性,Customer Local Group,Kênh(Nhóm) Khách Hàng,ប្រភេទនៃអតិថិជន,Grup Lokal Pelanggan,Customer Local Group
Customer Name,Customer Name,ชื่อร้านค้า,客戶名稱,ဖောက်သည်၏ နာမည်,Tên Khách Hàng,ឈ្មោះអតិថិជន,Nama Pelanggan,Customer Name
Customer PO Reference (Max length: 35 Characters),Customer PO Reference (Max length: 35 Characters),หมายเลข PO (สูงสุด 35 ตัวอักษร),客戶採購單號，上限35 字元(不接受中文),ဖောက်သည် PO ရည်ညွှန်း ချက် (အများဆုံး စာလုံးရေ ၃၅ လုံး ),PO(Mã mua hàng) tham chiếu (Độ dài tối đa: 35 ký tự),លេខយោងនៃការបញ្ជាទិញ របស់អតិថិជន (វែងបំផុតត្រឹម៖ ៣៥ តួ),Referensi PO Pelanggan (Max Length: 35 karakter),Customer PO Reference (Max length: 35 Characters)
Customer PO Reference Required,Customer PO Reference Required,กรุณาใส่หมายเลข PO,客戶PO採購單號,ဖောက်သည် PO ရည်ညွှန်း ချက် လိုအပ်သည်,Yêu cầu PO (Mã mua hàng) tham chiếu,ការបញ្ជាទិញ របស់អតិថិជននិងឯកសារយោងរបស់ការបញ្ជាទិញដែលតំរូវអោយមាន,Referensi PO Pelanggan Diperlukan,Customer PO Reference Required
Customer ship to ID,Customer ship to ID,รหัสที่อยู่จัดส่งร้านค้า,客戶送貨地址代碼,ဖောက်သည်၏ ကုန်ပစ္စည်းပို့ရန်လိပ်စာနံပါတ်,Mã Địa chỉ giao hàng:,លេខសំគាល់អាស័យដ្ឌានដឹកជញ្ជូនទៅកាន់អតិថិជន,Kapal Pelanggan ke ID,Customer ship to ID
Customer sold to ID,Customer sold to ID,รหัสร้านค้า,客戶代碼,ဖောက်သည်၏ အရောင်း လိပ်စာနံပါတ်,Mã Khách hàng:,លេខសំគាល់របស់អតិថិជនដែលលក់ទៅអោយ,Pelanggan Dijual ke ID,Customer sold to ID
Date Filter,Date Filter,ตัวกรองวันที่,日期篩選,ရက်စွဲဖြင့်စစ်ထုတ်ရန်,Lọc theo ngày,តម្រងតាមកាលបរិច្ឆេទ,Filter tanggal,Date Filter
days. Please update your password before it expires,days. Please update your password before it expires,วัน กรุณาเปลี่ยนรหัสผ่านของคุณก่อนวันหมดอายุ,過期，請更新您的密碼,ရက်အတွင်းကုန်ဆုံးပါမည်။ သင်၏စကားဝှက်ကို သက်တမ်း မကုန်မှီ ကျေးဇူးပြု၍ မွမ်းမံပါ,ngày. vui lòng cập nhật mật khẩu trước khi hết hạn.,រាល់ថ្ងៃ សូមធ្វើបច្ចុប្បន្នភាព (ផ្លាស់ប្តូរ)​លេខសម្ងាត់របស់អ្នកមុនពេលវាផុតកំណត់,hari -hari Harap perbarui kata sandi Anda sebelum kedaluwarsa,days. Please update your password before it expires
Deals :,Deals :,Deals :,搭贈/價格條件 :,Deals :,Chính sách bán hàng :,"ការផ្តល់ជូនពិសេស : ",Penawaran:,Deals :
Delivered,Delivered,ส่งสำเร็จแล้ว,已送達,ပို့ဆောင်ပြီး,Đã giao hàng,បានដឹកជញ្ជូន,Pesanan Tiba di Tujuan,배송 완료
Delivered - partial rejection,Delivered - partial rejection,จัดส่งแล้ว - ปฏิเสธบางส่วน,取消-部分拒絕,ပေးပို့သည် - တစ်စိတ်တစ်ပိုင်း ငြင်းပယ်ခြင်း,Đã giao - một phần,បានដឹកជញ្ចូន-ការច្រានចោលជាផ្នែក,Disampaikan - penolakan sebagian,Delivered - partial rejection
Delivered - rejected upon delivery,Delivered - rejected upon delivery,จัดส่งแล้ว - ปฏิเสธการจัดส่ง,取消訂單,ပေးပို့သည် - ပေးပို့ချိန်တွင် ငြင်းပယ်ခြင်း,Đã giao - trả hàng tại chỗ,បានដឹកជញ្ចូន-បានច្រានចោលនៅពេលដឹកជញ្ជូន,Dikirim - ditolak saat pengiriman,Delivered - rejected upon delivery
Discount,Discount,ส่วนลด,折扣,လျှော့စျေး,Chiết khấu,បញ្ចុះតម្,Diskon,Discount
DO IT LATER,DO IT LATER,DO IT LATER,下次再提醒我,DO IT LATER,DO IT LATER,DO IT LATER,Lakukan nanti,DO IT LATER
Do you want to proceed?,Do you want to proceed?,ต้องการดำเนินการต่อหรือไม่?,請確認是否執行,ဆက်လုပ်ဆောင် ချင်ပါသလား?,Quý Khách Hàng có muốn tiếp tục không?,តើអ្នកចង់បន្តទេ?,Apakah Anda ingin melanjutkan?,Do you want to proceed?
Done,Done,Done,完成,ပြီးပြီ,Hoàn thành,រួចរាល់,Selesai,Done
Due Date,Due Date,วันครบกําหนด,Due Date,Due Date,Ngày đến hạn,Due Date,Tanggal jatuh tempo,Due Date
Email will be sent in your language of choice,Email will be sent in your language of choice,อีเมล์จะถูกส่งให้คุณด้วยภาษาที่เลือก,將以您選擇的語言發送電子郵件,သင်ရွေးချယ်သောဘာသာစကားဖြင့် အီးမေးလ်များကိုပေးပို့လိမ့်မည်,Thư điện tử (email) sẽ được gửi theo ngôn ngữ của Quý Khách chọn,អ៊ីមែលនឹងត្រូវបានផ្ញើជាភាសាដែលអ្នកជ្រើសរើស,Email akan dikirim dalam bahasa pilihan Anda,Email will be sent in your language of choice
Empty Cart,Empty Cart,ลบสินค้าในตะกร้า,未有選購產品,စျေးဝယ်ခြင်းကိုရှင်းလင်းမည်,Giỏ hàng trống,រទេះផលិតផលទទេ,Keranjang kosong,Empty Cart
Enter your text here,Enter your text here,กรุณาใส่ข้อความในช่องนี้,輸入文字,သင်၏စာသားကိုဒီမှာထည့်ပါ,Nhập thông tin ở đây,បញ្ចូលអត្ថបទរបស់អ្នកនៅទីនេះ,Masukkan teks Anda di sini,Enter your text here
Error,Error,Error,錯誤,အမှား,Lỗi,មានបញ្ហា,Kesalahan,Error
